018BAC	016258
015E00	01531D
015DFB	015377
015DFA	015DFD
015DF6	01662D
015DF5	01536E
0158AC	015730
015D2F	015D1F
015D2C	015CBD
015D2B	015D1B
015D2A	015D12
015D18	015D19
015D15	015D16
015D10	015D11
015D08	015D07
01704B	016CD5
015C02	014E13
015BFE	015BF9
015C00	0153F5
015BDC	015B81
015BDB	015BBD
015BD5	015B81
016F59	0159AB
015AAF	0159AB
015AD3	015AB2
0159D9	01598A
0159C9	0159CA
0159B7	014F84
0159AC	015992
01734E	015956
01757A	017586
0158B5	01575B
0158B4	01968D
0158B0	01575B
0158AA	0158A9
0158A2	0157A1
015897	01589E
015896	015854
01588D	015848
019684	015824
0157A8	015B88
01579C	01579B
015796	015806
015787	015773
015781	0196C9
01568A	0155C5
015689	015484
015675	019053
015554	01542F
0153BA	0153BB
0153B5	016E90
0153B3	014E25
0153B0	015382
0153AB	015ED2
0153AA	014EC5
0153AF	015386
0153A1	01539F
0153A0	015395
01539B	015385
015393	015D16
015390	015E9E
015286	019570
015285	016580
015279	01622E
015271	015251
015270	015269
015264	015242
015263	015251
015260	019EE5
015259	01521B
017C2E	017C2A
01512B	018C6A
015128	018D28
01511E	014F60
01510E	0150A4
01503F	014F5E
015039	014FED
015038	01776C
015036	014FF1
015024	01503C
015010	01500F
014EE7	01957F
014EB7	015EC9
014EB1	01591C
014E9C	014E9A
0191C8	0191CA
0191C4	0191BE
019F11	019F0E
019F08	019CD6
0176BB	019F47
019B00	015243
019AF0	015243
017D82	017EDF
017575	01753B
015F42	01767C
015BE2	015BDD
0186E0	0173D5
0183BE	0183BD
016E4C	019910
015F3D	0197D8
0192E9	0194D3
018EE3	018F70
018EE2	018F6C
018EDA	018ED1
018CA6	0173A9
018C8B	018C7B
01889F	015E19
0188A0	015E19
0183B5	0183DF
017371	017335
017363	01517D
017354	0155E5
017353	017352
01734F	018C98
01734B	0155E5
014ECF	014F5B
014ECC	0151B0
014EBE	014EA1
014EBD	0196C6
014EBC	0196C6
014EB4	0198DE
014EB0	014EAC
014EAF	014EAB
014EA3	015927
014E9D	01658B
014E97	015C81
014E96	0156DB
014E90	014E8E
017245	015889
01723C	014FCE
017234	01652B
01722F	0179F0
017225	0170DB
017224	0170C2
017156	016696
017157	016696
017155	017199
0173F3	01739F
0173F1	01748E
0173E4	015B9D
0173E1	017434
017571	017559
01756D	01756C
017568	01756A
017561	015793
01756E	014EA9
01755D	014EA9
01755E	014EA9
017742	017709
01773F	01773D
0177E4	0177E7
0177DD	0177DC
0177D2	0177A2
0177C8	0177CF
0177BE	0166CC
017A01	017A3F
017A93	017A97
017C35	017C2C
017C34	018661
017C8B	017CB9
017D23	017DB7
017FC6	017FE0
017FC4	017FC5
017FDD	017FC3
017FD6	017FD5
01805F	015A7F
018134	0175DE
0181CB	0181C0
0181C8	01814A
0181B8	019AD3
01824A	018236
0182FD	0183F0
01830A	015179
0183ED	0182D4
01844A	015EB5
018455	01839A
018462	0176D6
018641	015914
0186FF	01872D
0186FD	018D1D
018801	018683
01865D	01864E
018657	01865A
01880F	0187F9
018807	0186CE
018716	0186D4
0187A1	01868A
018799	018839
01878E	01878D
018A7E	018BBB
018A19	018BAF
018A14	018ABE
018A06	0153EB
0189FD	0189FF
018999	018BCA
018994	0189C5
018990	0189C9
01898D	015F01
018984	018986
018A67	015BDF
018A78	018C1C
015553	01542F
018B29	018C1F
018D0B	018D5D
018D01	018D25
018DC0	015216
0190AB	0190A6
01908E	016E38
01908C	018FDF
019089	018FB9
01941F	019415
019868	015DFD
019866	016194
019856	0156DF
019D2A	019D25
019D27	019D25
019E84	017C97
019D95	019E4C
019D3C	019E6D
019D35	0167AD
019D2C	0183BA
019DEA	0183BA
019E9E	017350
019E95	019E87
019E90	019E9F
019E8F	019E87
019E81	017C97
01F9F1	0190BB
01F9E7	0191CC
019FA3	0189D2
019FA1	015439
019F9E	019CD6
019F9D	0179CB
019F97	017075
019F8F	01606D
019F8E	015E9E
019F7D	015664
019F26	018C82
019F21	019F20
019F1D	019F18
0199E1	019A82
018F40	018F92
01994D	0181B3
01510D	0150BB
019D8F	019E21
019A46	018DF8
019429	0171E7
016BA6	019E31
016310	0162FF
019EA4	017C97
018B3C	01547C
018656	01547C
015557	015556
01769C	017693
018460	0153C2
017F4B	0174EE
0153A4	015386
017609	016108
0191BC	015BB4
018814	01869D
018C8D	0172F8
016427	016247
016AC2	0168F9
015690	015C1D
016440	016342
018123	015507
017CBA	017A17
019F07	019CCC
015BD1	015BDD
017BB7	016938
018E60	018DD6
015117	0162DF
0177D9	0177B0
01589D	017857
0193AF	016994
017FB4	0181BB
017FB6	0181BB
018CEE	018D46
018263	016A79
016443	01625B
017D32	017EC1
017147	018F89
017616	015591
01857F	018431
0196F0	016C1B
017E59	017FFB
018AE1	018C25
019F15	0151AC
015679	015F53
015BD8	017F6E
015284	01672D
0183D1	01707E
018FFB	0179FB
01890E	018896
018819	0173AD
017A75	016316
016428	0162D3
015AAE	015077
019295	0194C1
017E50	017A57
016CDD	016EAF
01965C	019655
017E56	014F1E
01935A	019496
01934A,019970	0194FE,019970
01934A,019501	0194FE,019501
01934A,015B50	0194FE,015B50
01300F	012019
01300E	012018
01300C	01201C
01300D	01201D
015756	015FCC
015755	017ECF
015753	019631
015758	01577B
0157C0	015782
015763	015802
01573D	016B81
015759	015DE0
01576E	0153F0
015767	01588C
016D,0169,016E,0167,016C,0169,0175	0173,0169,016D,0173,0175,016E
014D,0169,016E,0167,016C,0169,0175	0173,0169,016D,0173,0175,016E
014D,0169,016E,0167,014C,0169,0175	0173,0169,016D,0173,0175,016E
015743	0157D9
015779	017A74
0157BB	01575D
015778	0157A2
01577F	019644
018414	0182D5
018415	018360
018416	01839E
018417	017B56
01841E	0184D6
01841F	01827A
018421	017B94
0183F4	015EB5
0183F7	015E1A
018432	018431
018405	016625
0183AD	017BC0
014E7E	015E72
014E7E,019633	014E7E,019633
014E7E,015B85	014E7E,015B85
014E7E,0165E6	014E7E,0165E6
014E7E,015366	014E7E,015366
014E7E,017EB2	014E7E,017EB2
014E7E,016656	014E7E,016656
014E7E,0166DC	014E7E,0166DC
014E7E,015764	014E7E,015764
014E7E,019686	014E7E,019686
018355	017B4B
018358	015E84
018391	0184EC
018395	018347
01839F	0183E1
018483	017BC6
018490	01641C
018493	0183BC
01849E	018385
0184AD	0182BB
0184B7	0182B8
016740,01624B,019567	016740,01624B,01950F
016DF1,016C88	016DF1,016C89
016C88,015165	016C89,015165
016C88,016C88	016C89,016C89
016C88,017761	016C89,017761
016C88,01601D	016C89,01601D
016C88,0175DB	016C89,0175DB
016C88,017A33	016C89,017A33
016C88,014E0B	016C89,014E0B
016C88,019677	016C89,019677
016C88,019999	016C89,019999
016C88,017BB1	016C89,017BB1
016C88,01541F	016C89,01541F
016C88,0152C7	016C89,0152C7
016C88,019C7C	016C89,019C7C
016C88,0190C1	016C89,0190C1
016C88,0151A4	016C89,0151A4
016C88,016E23	016C89,016E23
016C88,016EDE	016C89,016EDE
016C88,0191CD	016C89,0191CD
016C88,014F4F	016C89,014F4F
016C88,017740	016C89,017740
016C88,016E0D	016C89,016E0D
016C88,019189	016C89,019189
016C88,015230	016C89,015230
016C88,017538,017538	016C89,017538,017538
016C88,016DC0	016C89,016DC0
016C88,014F0F	016C89,014F0F
016C88,016D6E	016C89,016D6E
016C88,016CB3	016C89,016CB3
016C88,016E4E	016C89,016E4E
016C88,0179EF	016C89,0179EF
016C88,0175BE	016C89,0175BE
016C88,015BC2	016C89,015BC2
016C88,016C5F	016C89,016C5F
016C88,016D78	016C89,016D78
016C88,019759	016C89,019759
016C88,0196F7	016C89,0196F7
016C88,016CA6	016C89,016CA6
016C88,0175B4	016C89,0175B4
016C88,0175FC	016C89,0175FC
016C88,016CA1	016C89,016CA1
016C88,0195F7	016C89,0195F7
016C88,018FF7	016C89,018FF7
016C88,019ED8	016C89,019ED8
016C88,016EBA	016C89,016EBA
01751A,014E48	014EC0,014E48
018505	01598D
018506	0183F1
018510	01837B
018515	018482
018518	0153C2
018525	018471
018532	01853B
018533	0184A8
018534	019EBB
018535	0185CF
018536	017BA6
01853E	0185DC
01854B	01854A
01854C	0185DF
018550	01534E
0177F3,016C88	0177F3,016C89
01624B,01934A	01624B,0194FE
01624B,01934A,015236	01624B,0170BC,015236
018593	0153C2
018597	0156ED
0185AB	0185B0
0185AC	01836F
0185AD	017A17
0185B4	0182E7
0185BB	0185FB
0185CC	018524
0172E2	018C89
0172F5	015C28
0172F9	0172ED
017302	01608D
017310	017F8C
01731F	01730E
017328	01733F
01732F	018C92
017341	0172B8
017343	015446
017346	0155E5
017347	017F8C
017372	0183B7
016240,017740	016240,018457
016240,017740,01624B	016240,017740,01624B
0185FC	018431
0185FD	016AEC
018600	01841A
018602	01854A
018603	01854A
018607	0182CF
01860D	0185B0
01860E	019AA5
01860F	017D45
018610	018431
018613	0182CF
018615	0184EC
01861D	018539
018628	017E47
01862F	018361
018637	015914
01863D	0185DF
018640	019F51
016761,01934A	016761,0194FE
0194C1,01934A	0194C1,0194FE
0194C1,01934A,015236	0194C1,0170BC,015236
018675	0186C7
018689	01868A
018698	0186D4
0186A0	019F22
0186A6	0186BA
0186AB	019C8D
0186CD	018424
0186D5	0186D4
01571F,017740	01571F,018457
017385	015999
0173C1	0174F7
0173FB	0173AB
01740D	017483
017416	0176CF
01741E	015723
017431	0196D5
017439	017434
017447	0173B3
01747B	017428
017484	01749F
01748D	0170E8
01749D	017470
0174A2	017409
0174B5	017399
0174BD	0173BA
0174BF	017487
01871D	01871E
01872F	01868C
018739	01868B
018745	018695
01874B	018721
018768	018671
01876F	01733F
018771	01867B
0187C1	01868A
0187C7	0187C6
0187DA	0187DB
0187E9	0187E8
0187F0	0187CF
0187F8	018821
017EC6,01660E,014F53	015B8B,014F53
014E0B,016C88	014E0B,016C89
01663E,017740	01663E,018457
019879,01934A	019879,0194FE
018824	0187D7
018827	018839
018828	0187CF
018829	01876B
01882D	018702
01883A	018695
018842	018844
018846	014F17
018847	018109
018849	015580
018852	0170AB
018855	01540C
01885A	0180E1
01885B	01536B
01885C	019053
01885E	01536B
01885F	019053
018879,01597D	0153EA,01597D
017501	0174F6
017506	0174F7
01750E	017816
01751B	01751C
01751E	015C1D
017520	016674
017523	014EA7
01753C	01753A
01753D	015733
017541	017540
017542	014EA9
017544	017559
017546	014EA9
01754A	018015
01754D	01754C
017550	01903C
017552	014EA9
017555	017586
017588	01526F
017589	01758A
01758A	0153E0
01758E	01758F
017598	01809B
0175A9	017601
0175B7	0180DD
0175BF	0175F1
0175CC	01606B
0175D0	0186D4
0175DC	0179C3
0175E0	019178
0175E9	017626
0175EE	0180C0
017602	0154D1
017645	017624
01764E	0175EB
01764F	01761D
01765B	0151DB
01765D	0151DB
017670	0175C8
017673	017630
017681	017682
017683	018C8C
01768D	015373
017690	01768B
0188B5	01887D
0188C4	017ED7
0188CC	015939
0188E0	0188D9
0188E6	018912
0188E9	0188C8
0188ED	01892B
0188F5	0188F4
0188F6	0188F4
018903	0188C9
018943	018912
018946	015E5E
01894C	01891D
01894D	016742
01894F	0188AF
018962	018892
018965	015E5E
018969	018961
01896A	01889C
01896C	016446
018975	018936
019057,017740	019057,018457
0194F6,01934A	0194F6,0194FE
0194F6,01934A,015236	0194F6,0170BC,015236
0189A5	0189CD
0189A7	0189C8
0189A9	017779
0189B0	0189D1
0189B3	0189C2
0189B4	0177AA
0189B7	0189D1
0189BB	0189D1
0189D5	017C97
0189D7	0189EF
0189DD	0162B5
0189E7	0189E3
0189EA	0189F2
0189EE	0189D2
0189F5	0189E5
0189F9	0189FF
018424,015E55	018367,015E55
018A20	0177E7
018A21	01541F
018A22	016B23
0176C7	0176CD
0176CB	0194B5
0176CC	017897
0176D9	017C20
017700	01660E
017702	0189C6
017706	014EFF
01770C	0153BF
01770E	0189C6
017718	01614E
01771E	01771F
017721	0189C6
017F16,017740	017F16,018457
016807,016977,014F53	016977,014F53,015F,0147,0142,0132,0133,0131,0132
018868,01934A	018868,0194FE
017764	017765
017796	017FF3
0177B6	017786
0177E6	014FAF
0177F4	017887
0177F5	01780C
017807	01739F
017815	01788E
017824	017823
017832	0170AE
01783F	0177FF
017842	0194E8
017843	016731
01784B	01788D
01784F	017814
018A29	018BBB
018A2B	014FE1
018A2E	018A7D
018A33	018BD1
018A36	015475
018A3D	018BDF
018A4B	015492
018F7D,016C88	018F7D,016C89
018A88	018BEC
018A96	016096
018AA4	018BEF
018AAC	018BF4
018AAD	018BFB
018AAF	015531
018AB3	018BCE
01662D,017740	01662D,018457
018AE9	018C31
018AEC	01542F
018B0A	018C0E
018B0C	016B4C
018B13	0155D4
018B15	01557C
018B21	018C23
0173E0,01934A	0173E0,0194FE
018B46	01563B
018B4B	018C30
018B4C	018BB9
018B4D	015E94
018B5B	018C2E
018B61	018C20
018B62	018C07
018B67	018A40
018B68	0154DD
018B69	01566B
018B6A	01853C
018B71	015584
018B72	018BA9
018B75	01603C
018B79	0153F7
018B7F	016167
018B81	018C2A
018B83	018D5E
0164B0,017740	0164B0,018457
015353,017740	015353,018457
017740,014E66	018457,014E66
017740,018FF0	018457,018FF0
017740,015EB8	018457,015EB8
017740,018005	018457,018005
017740,014F5C	018457,014F5C
017740,0179F0	018457,0179F0
017740,017EE9	018457,017EE9
017740,017C4D	018457,017C4D
017740,015F55	018457,015F55
017740,01540D	018457,01540D
018C38	01828A
018C3F	016EAA
018C40	018C3F
018C44	016E0E
018C4B	01767B
016A71	016A71
017892	015D1F
0178AA	017827
0178B5	0178CC
0178C7	017812
0178D1	017859
0178D2	019668
0178D7	017816
0178E0	017875
01790D	0178A3
01791A	0178D5
017920	0178C1
017926	0177FF
01792E	0170AE
017931	01783B
017932	01783B
017936	017F50
017937	01791B
01794D	01887D
017958	017B97
017999	018919
01799D	017A37
01799E	017970
0179A5	01797A
0179A9	017940
0179B0	017962
0179BF	0179C3
0179C8	017C7C
0179CA	015E74
0179CC	0179CB
0179D0	018018
0179D4	017CB3
0179D7	01996B
0179DA	0162CC
018C4E	017AD6
018C52	0179E9
018C53	018273
018C54	018273
018C74	018E62
018C76	018C6E
018C7C	018C94
018C7F	0172D7
018C83	018C8A
018CAE	018D30
018CC5	018D45
018CC9	016064
018CCD	018D43
018CCE	018D31
018CD4	015BBE
018CD6	018D4A
018CD8	018D43
018CDB	018D5E
018CDD	01741B
018CEB	018D4D
01502E	0188F8
018D12	018D24
018D18	018D4F
018D1C	018D43
018D71	018D70
018D7C	018D91
018D82	018D81
018DE5	018DFA
018DF4	018E29
018E01	0180EB
018E08	01758F
018E0B	01811A
018E28	018E2A
018E30	01903E
018E32	019041
018E75	018E74
018E77	018E76
018E79	018E0F
018E7A	018DF7
018E7B	018DF7
018E82	018DF6
018E83	018E84
018E99	018E8F
018E9A	018DF9
018E9B	018E97
018EA2	018E4B
018EAD	01803D
018EB0	014F53
018EB1	018EB2
018EB3	018EAC
018EB6	0188F8
018EB7	0177EE
018EBC	018EC2
018EC1	01507B
017A2C	017CEF
017A2D	0179F8
017A32	017A3B
017A3A	017A1A
017A3E	017A3F
017A42	017A57
017A45	017CE0
017A49	017A1A
017A4E	019896
017A4F	017A33
017A50	0179CB
017A5E	017A06
017A61	017A51
017A64	017CEF
017A68	019893
017AAF	017A91
017AB0	017A91
017AB5	017A8E
017ABA	017AA5
017ABB	017A97
017ABC	015DE2
017ABD	017ABE
017AC2	015BEE
017AC3	017076
017AC6	017A77
017AC8	017076
017AD2	015947
017AD4	015347
017AD7	015999
017ADA	014F2B
017ADC	019F99
017ADD	015E76
017AE9	018C0A
017AEA	017AD6
016D6E,016C88	016D6E,016C89
0194A2,01934A	0194A2,0194FE
0194A2,01934A,015236	0194A2,0170BC,015236
017B36	0177E2
017B42	017BEA
017B53	017B04
017B59	017B82
017B5E	017B56
017B66	017BA1
017B69	017B52
017B6F	017BB8
017B70	017B2E
017B7A	017B50
017B86	017BE6
017B87	014E2A
017B8B	017B3A
017B8E	017BEA
018EF0	018F88
018EF6	018F6D
018EFD	018F7B
018F0C	018F86
018F0F	018F36
018F12	018F84
018F19	018F84
018F1E	018F8B
0183F8	0170DF
018F5D	018206
018F9D	018F9E
018FA0	017F6A
018FA1	018FA9
018FA2	018FA3
018FA4	018F9E
018FA7	018FA8
018FAA	018FA5
018FAC	016591
018FAD	018F9E
018FB2	01519C
018FB3	01519C
018FBC	018FC2
018FC3	018FC2
018FC6	018FE4
019025	0156DE
019029	015954
01902A	019519
01902C	018FF8
019030	01904A
019037	019016
019039	018FBE
01903A	018FDC
019040	01968F
019045	018FDF
019049	014FA6
01905E	019012
01905F	018FDF
019061	016EAF
019076	017ED5
019077	018FC1
0190C9	0190A2
0190CC	0190BD
0190CD	0190A3
0190D2	0190CE
0190DE	0190CE
0190F6	0190E8
0190F7	014E61
01910A	014E61
019115	014E61
0155EC	015475
0189C2,014E7E,018C61	0189C2,014E7E,018C61
017BCB	017BA7
017BCF	015D4C
017BD0	017B8D
017BD2	019950
017BD4	017B7C
017BDB	017BAC
017BDE	016D85
017BED	017B3C
017BF2	015F57
017C06	017B58
017C11	0184D1
017C12	017BE1
017C14	0184D1
017C17	017BC9
017C18	017BAB
017C44	017C23
017C52	017C40
017C55	017C40
017C56	017B7E
017C58	0185E4
017C59	017B93
017C5B	017BEF
017C5D	017C6F
017C62	015941
017C68	015941
017C6D	017B5B
017C76	017C78
017C78	017CC1
017C83	0179D5
019147	019142
019154	019189
019167	01916C
019186	0176CF
019195	019187
019196	01915D
019197	019166
0191A4	019171
0191AC	019171
0191B1	019166
0191B8	01917F
0191BB	01916C
015F77	014EFF
015F77,015F89	015F77,015F89
015F77,015FA8	015F77,015FA8
015FB5	015F81
0191E6	016263
0191EF	0194D3
019203	019498
019205	0194BA
019206	0194C5
019208	01949A
01920E	0194A9
01921F	019493
019221	01949F
017315	0172DD
015925	014F19
01998D,017CCA	016A21,017CCA
015ED1	014EC5
01924F	019504
019255	0194B7
019262	0194B5
019264	0194A9
019268	0173BA
019269	0173BA
019271	0177FF
019281	0194A7
0192A9	0194E5
0192AD	0194B1
0192B1	0194DE
0192B2	01710A
0192BD	0194E6
0192BE	016C5E
0192D5	015FD7
0192D6	019495
0192DB	0177FF
0192DD	01950A
0192E2	01950A
0192E3	0194D8
0192E5	019503
016E16	016C88
017CC2	017CC1
017CC9	017CBD
017CD3	018C37
017CDA	015986
017CDB	017CD6
017CDD	017CC1
017CE1	017CE8
017CE2	01998D
017CE3	017CC1
017CE5	017CEF
017CED	017CBD
017CF2	017C9D
017CFA	017EA0
017CFC	01529F
018BA1,01753B	018BA1,015212
015BB6,014FF1	015BB6,015177
017877	0178B1
017D43	015F26
017D48	015E1E
017D4B	017EA9
017D4C	017ECF
017D4D	017EB4
017D4F	017EC1
017D5B	017EE6
017D5C	016D01
017D5D	017ED4
017D64	017EBF
017D75	017ED8
017D76	017EDD
01811A,01934A	01811A,0194FE
0191D1,01934A	0191D1,0194FE
0191D1,01934A,015236	0191D1,0170BC,015236
0191D1,015C5E,01934A	0191D1,015C5E,0194FE
0191D1,015C5E,01934A,015236	0191D1,015C5E,0170BC,015236
017D99	017EE7
017D9A	017EED
017DA4	017ECD
017DAB	017EBF
017DB3	017EF7
017DBD	017EF0
017DCD	017F17
017DCF	01603B
017DD0	017E41
017DD1	017EFF
017DD2	017EEA
017DD3	017F28
017DD4	017EF1
017DD6	017EEA
01932C	0170BC
019331	0173CD
019332	015F55
019337	019486
019341	019528
019348	019533
01752F	015B81
019373	019274
01937C	019488
01937F	019531
019387	019545
01938B	018F96
019392	018028
019394	017194
019396	019501
01939C	0176D8
0193A0	0194A2
0193A3	0184E5
0193AB	01933D
017EA8,0188E4	017EA8,017ED4
0193DB	0192FF
0193E0	01950B
0193E5	019508
0193EC	017F45
0193F0	01955A
0193F3	0194EE
0193F9	01956A
015DDB	015DDD
01740A	0173A1
019430	019539
01943D	0194BD
019444	0194F8
019451	019274
019452	019274
019454	019572
01945A	0194BB
01945B	0177FF
01945C	0192FF
019464	015228
019465	019565
01946C	019274
019888,01934A	019888,0194FE
015DE8,017740	015DE8,018457
017DFC	017F0A
017DFD	018D6A
017DFE	017F20
017DFF	017ED0
017E00	01978B
017E01	017F18
017E02	01603B
017E04	017EF3
017E1A	017EE6
017E26	017EB5
017E27	017EE6
017E31	017EB5
017E32	017F27
017E34	017EA4
017E64	017E82
017E65	015B09
017E69	017EF3
017E6D	018327
017E6E	017F30
017E7F	018934
017E84	0184EC
017E89	017F35
017E8A	017EA9
017E8D	017D2F
017E8E	017EA4
017E8F	017F20
017E92	017F20
0168F9	01684C
01957E	015F25
019585	0195E8
019587	0195ED
019588	0195EC
019597	016597
019599	0195F9
0195A0	0195F0
0195A2	015173
0195A4	015408
0195A7	0154C4
016998	0177E9
0195D7	015173
0195D8	016597
0195D9	01542F
0195DA	017AA5
0195DD	015AD6
019625	019634
019626	019633
019627	019661
019629	015347
01962C	015751
01962F	015740
019652	01579D
019656	015CFB
019657	015CED
0166DB	01660F
01968C	016697
